country_code,cases,deaths,IFR
ABW,26616.0,163.0,0.006124135858130448
AIA,3106.0,8.0,0.0025756600128783
ARG,7244004.0,85092.0,0.01174654238180984
ATG,7898.0,132.0,0.016713091922005572
BES,9405.0,31.0,0.00329611908559277
BHS,26130.0,635.0,0.02430156907768848
BLZ,45885.0,413.0,0.009000762776506483
BMU,13630.0,124.0,0.009097578870139398
BOL,729533.0,12609.0,0.01728365954658665
BRA,23114252.0,469431.0,0.020309158176522433
BRB,76525.0,427.0,0.005579875857562888
CAN,3007212.0,24898.0,0.008279429584611926
CHL,3062081.0,40832.0,0.01333472236691322
COL,4345636.0,95315.0,0.021933498341784725
CRI,730480.0,6283.0,0.00860119373562589
CUB,1089228.0,8373.0,0.007687095814650376
CUW,34481.0,256.0,0.007424378643310809
CYM,24273.0,23.0,0.000947554896386932
DMA,13959.0,64.0,0.004584855648685436
DOM,397465.0,1931.0,0.004858289409130363
ECU,644630.0,21469.0,0.033304376153762624
FLK,1634.0,0.0,0.0
GRD,17430.0,226.0,0.012966150315547906
GRL,10983.0,20.0,0.0018209960848584175
GTM,716504.0,13263.0,0.018510713129305627
GUY,57361.0,1046.0,0.018235386412370776
HND,301272.0,7715.0,0.025608088371969515
HTI,20597.0,598.0,0.02903335437199592
JAM,120170.0,2724.0,0.02266788715985687
KNA,5235.0,43.0,0.008213944603629418
LCA,24590.0,358.0,0.014558763725091501
MEX,4267756.0,196054.0,0.0459384275952046
MSR,953.0,5.0,0.005246589716684155
NIC,12349.0,58.0,0.004696736577860555
PAN,585314.0,4079.0,0.006968908995855216
PER,2520820.0,118603.0,0.04704937282312898
PRI,483251.0,2775.0,0.005742357491241612
PRY,540654.0,16570.0,0.030648066970742842
SLV,115135.0,2751.0,0.023893690016068093
SUR,73756.0,1216.0,0.016486794294701446
SXM,8092.0,59.0,0.007291151754819575
TCA,4825.0,29.0,0.006010362694300518
TTO,147107.0,3465.0,0.023554283616687172
URY,892805.0,7013.0,0.007855018733094013
USA,59105007.0,633542.0,0.010718922679427142
VCT,8330.0,100.0,0.012004801920768308
VEN,406827.0,4645.0,0.011417629606687855
VGB,6486.0,61.0,0.009404872032069071
VIR,14778.0,88.0,0.0059547976722154556
