,cases,deaths,countryterritoryCode
508,2003.0,73.0,AUT
509,2711.0,78.0,AUT
510,2975.0,83.0,AUT
511,2125.0,89.0,AUT
512,1697.0,64.0,AUT
513,1163.0,94.0,AUT
514,1287.0,70.0,AUT
515,1806.0,86.0,AUT
516,2855.0,99.0,AUT
517,2557.0,114.0,AUT
518,2108.0,89.0,AUT
519,1353.0,91.0,AUT
520,1505.0,96.0,AUT
521,2151.0,96.0,AUT
522,1950.0,108.0,AUT
523,2389.0,105.0,AUT
524,2758.0,97.0,AUT
525,2743.0,118.0,AUT
526,2506.0,104.0,AUT
527,2638.0,105.0,AUT
528,2836.0,139.0,AUT
529,3090.0,122.0,AUT
530,2480.0,133.0,AUT
531,2632.0,117.0,AUT
532,2512.0,132.0,AUT
533,2067.0,106.0,AUT
534,2865.0,123.0,AUT
535,3591.0,139.0,AUT
536,3655.0,145.0,AUT
537,3569.0,137.0,AUT
538,3937.0,144.0,AUT
539,3375.0,135.0,AUT
540,2391.0,121.0,AUT
541,3737.0,136.0,AUT
542,4238.0,130.0,AUT
543,5018.0,120.0,AUT
544,5391.0,123.0,AUT
545,5743.0,105.0,AUT
546,4608.0,122.0,AUT
547,2436.0,105.0,AUT
548,5154.0,118.0,AUT
549,6465.0,127.0,AUT
550,6607.0,117.0,AUT
551,6433.0,95.0,AUT
552,7522.0,105.0,AUT
553,6076.0,104.0,AUT
554,4612.0,85.0,AUT
555,5098.0,96.0,AUT
556,7018.0,99.0,AUT
557,8257.0,99.0,AUT
558,9176.0,91.0,AUT
559,7437.0,72.0,AUT
560,6247.0,80.0,AUT
561,5745.0,55.0,AUT
562,5324.0,75.0,AUT
563,8091.0,46.0,AUT
564,6954.0,61.0,AUT
565,7111.0,65.0,AUT
566,6361.0,56.0,AUT
567,5193.0,41.0,AUT
568,4479.0,33.0,AUT
569,4790.0,52.0,AUT
570,5715.0,41.0,AUT
571,5048.0,43.0,AUT
572,4469.0,35.0,AUT
573,4374.0,31.0,AUT
574,2782.0,26.0,AUT
575,2474.0,23.0,AUT
576,2970.0,16.0,AUT
577,3346.0,20.0,AUT
578,3232.0,19.0,AUT
579,2653.0,20.0,AUT
580,1979.0,13.0,AUT
581,1646.0,15.0,AUT
582,1199.0,9.0,AUT
583,1485.0,16.0,AUT
584,1795.0,10.0,AUT
585,1522.0,6.0,AUT
586,1435.0,8.0,AUT
587,1321.0,7.0,AUT
588,1142.0,10.0,AUT
589,831.0,14.0,AUT
590,1014.0,8.0,AUT
591,1260.0,9.0,AUT
592,1110.0,11.0,AUT
593,1274.0,8.0,AUT
594,1077.0,11.0,AUT
595,926.0,10.0,AUT
596,738.0,10.0,AUT
597,718.0,5.0,AUT
598,1014.0,6.0,AUT
599,790.0,8.0,AUT
600,854.0,3.0,AUT
601,759.0,6.0,AUT
602,739.0,2.0,AUT
603,545.0,6.0,AUT
604,591.0,5.0,AUT
605,762.0,5.0,AUT
606,658.0,6.0,AUT
607,804.0,5.0,AUT
608,719.0,3.0,AUT
609,582.0,4.0,AUT
610,471.0,5.0,AUT
611,667.0,3.0,AUT
612,874.0,4.0,AUT
613,806.0,5.0,AUT
614,854.0,5.0,AUT
615,723.0,1.0,AUT
616,820.0,1.0,AUT
617,414.0,1.0,AUT
618,414.0,4.0,AUT
619,930.0,4.0,AUT
620,598.0,4.0,AUT
621,692.0,1.0,AUT
622,552.0,1.0,AUT
623,396.0,0.0,AUT
624,367.0,2.0,AUT
625,217.0,1.0,AUT
626,380.0,5.0,AUT
627,366.0,1.0,AUT
628,429.0,2.0,AUT
629,286.0,2.0,AUT
630,220.0,3.0,AUT
631,224.0,0.0,AUT
632,237.0,0.0,AUT
633,395.0,1.0,AUT
634,226.0,0.0,AUT
635,319.0,0.0,AUT
636,301.0,0.0,AUT
637,243.0,5.0,AUT
638,193.0,2.0,AUT
639,229.0,2.0,AUT
640,302.0,3.0,AUT
641,331.0,2.0,AUT
642,347.0,2.0,AUT
643,252.0,2.0,AUT
644,259.0,1.0,AUT
645,169.0,1.0,AUT
646,156.0,1.0,AUT
647,349.0,1.0,AUT
648,251.0,3.0,AUT
649,190.0,2.0,AUT
650,187.0,2.0,AUT
651,158.0,0.0,AUT
652,72.0,1.0,AUT
653,104.0,2.0,AUT
654,90.0,4.0,AUT
655,119.0,2.0,AUT
656,159.0,1.0,AUT
657,83.0,0.0,AUT
658,93.0,2.0,AUT
659,70.0,2.0,AUT
660,62.0,3.0,AUT
661,123.0,4.0,AUT
662,190.0,4.0,AUT
663,102.0,1.0,AUT
664,153.0,0.0,AUT
665,96.0,3.0,AUT
666,101.0,0.0,AUT
667,112.0,2.0,AUT
668,153.0,0.0,AUT
669,117.0,2.0,AUT
670,162.0,1.0,AUT
671,137.0,0.0,AUT
672,90.0,3.0,AUT
673,87.0,5.0,AUT
674,81.0,0.0,AUT
675,124.0,0.0,AUT
676,141.0,1.0,AUT
677,130.0,1.0,AUT
678,122.0,1.0,AUT
679,99.0,2.0,AUT
680,52.0,2.0,AUT
681,90.0,3.0,AUT
682,105.0,0.0,AUT
683,72.0,1.0,AUT
684,118.0,0.0,AUT
685,91.0,0.0,AUT
686,68.0,1.0,AUT
687,76.0,0.0,AUT
688,106.0,3.0,AUT
689,134.0,1.0,AUT
690,80.0,3.0,AUT
691,95.0,1.0,AUT
692,101.0,0.0,AUT
693,49.0,1.0,AUT
694,62.0,2.0,AUT
695,45.0,3.0,AUT
696,74.0,1.0,AUT
697,44.0,2.0,AUT
698,35.0,4.0,AUT
699,43.0,2.0,AUT
700,31.0,3.0,AUT
701,29.0,2.0,AUT
702,32.0,3.0,AUT
703,52.0,2.0,AUT
704,32.0,0.0,AUT
705,31.0,1.0,AUT
706,19.0,3.0,AUT
707,53.0,6.0,AUT
708,18.0,5.0,AUT
709,22.0,1.0,AUT
710,37.0,2.0,AUT
711,22.0,1.0,AUT
712,34.0,2.0,AUT
713,15.0,2.0,AUT
714,24.0,3.0,AUT
715,25.0,1.0,AUT
716,31.0,1.0,AUT
717,67.0,2.0,AUT
718,17.0,4.0,AUT
719,53.0,3.0,AUT
720,16.0,3.0,AUT
721,19.0,1.0,AUT
722,5.0,4.0,AUT
723,32.0,0.0,AUT
724,42.0,2.0,AUT
725,19.0,2.0,AUT
726,50.0,1.0,AUT
727,22.0,4.0,AUT
728,25.0,2.0,AUT
729,31.0,1.0,AUT
730,24.0,1.0,AUT
731,28.0,4.0,AUT
732,31.0,3.0,AUT
733,30.0,4.0,AUT
734,61.0,1.0,AUT
735,58.0,4.0,AUT
736,26.0,2.0,AUT
737,15.0,1.0,AUT
738,81.0,0.0,AUT
739,54.0,4.0,AUT
740,52.0,3.0,AUT
741,38.0,1.0,AUT
742,66.0,3.0,AUT
743,15.0,3.0,AUT
744,30.0,7.0,AUT
745,49.0,5.0,AUT
746,39.0,3.0,AUT
747,46.0,7.0,AUT
748,54.0,3.0,AUT
749,30.0,4.0,AUT
750,12.0,9.0,AUT
751,28.0,4.0,AUT
752,37.0,4.0,AUT
753,54.0,7.0,AUT
754,61.0,7.0,AUT
755,49.0,14.0,AUT
756,70.0,6.0,AUT
757,35.0,9.0,AUT
758,62.0,14.0,AUT
759,79.0,8.0,AUT
760,60.0,8.0,AUT
761,73.0,12.0,AUT
762,70.0,18.0,AUT
763,68.0,9.0,AUT
764,47.0,17.0,AUT
765,60.0,18.0,AUT
766,100.0,13.0,AUT
767,111.0,23.0,AUT
768,129.0,16.0,AUT
769,150.0,13.0,AUT
770,87.0,21.0,AUT
771,111.0,12.0,AUT
772,203.0,17.0,AUT
773,357.0,23.0,AUT
774,276.0,22.0,AUT
775,290.0,17.0,AUT
776,289.0,29.0,AUT
777,306.0,31.0,AUT
778,183.0,22.0,AUT
779,253.0,20.0,AUT
780,411.0,18.0,AUT
781,438.0,20.0,AUT
782,548.0,11.0,AUT
783,550.0,19.0,AUT
784,673.0,21.0,AUT
785,547.0,14.0,AUT
786,617.0,19.0,AUT
787,807.0,20.0,AUT
788,1056.0,16.0,AUT
789,754.0,9.0,AUT
790,723.0,10.0,AUT
791,687.0,12.0,AUT
792,618.0,8.0,AUT
793,548.0,6.0,AUT
794,509.0,5.0,AUT
795,455.0,3.0,AUT
796,372.0,5.0,AUT
797,346.0,2.0,AUT
798,226.0,2.0,AUT
799,198.0,1.0,AUT
800,210.0,1.0,AUT
801,182.0,0.0,AUT
802,97.0,1.0,AUT
803,109.0,0.0,AUT
804,55.0,0.0,AUT
805,22.0,0.0,AUT
806,28.0,0.0,AUT
807,23.0,0.0,AUT
808,29.0,0.0,AUT
809,9.0,0.0,AUT
810,14.0,0.0,AUT
811,6.0,0.0,AUT
812,5.0,0.0,AUT
813,4.0,0.0,AUT
814,1.0,0.0,AUT
815,4.0,0.0,AUT
816,2.0,0.0,AUT
817,1.0,0.0,AUT
1326,1626.0,88.0,BEL
1327,1980.0,74.0,BEL
1328,2270.0,77.0,BEL
1329,2641.0,63.0,BEL
1330,530.0,61.0,BEL
1331,1098.0,64.0,BEL
1332,492.0,69.0,BEL
1333,1719.0,81.0,BEL
1334,2356.0,94.0,BEL
1335,2589.0,102.0,BEL
1336,3308.0,71.0,BEL
1337,635.0,89.0,BEL
1338,1429.0,93.0,BEL
1339,2729.0,85.0,BEL
1340,2733.0,90.0,BEL
1341,2753.0,99.0,BEL
1342,3200.0,103.0,BEL
1343,3805.0,100.0,BEL
1344,735.0,92.0,BEL
1345,1581.0,87.0,BEL
1346,2885.0,114.0,BEL
1347,2668.0,96.0,BEL
1348,2749.0,89.0,BEL
1349,2710.0,92.0,BEL
1350,3347.0,98.0,BEL
1351,596.0,86.0,BEL
1352,1094.0,87.0,BEL
1353,2549.0,110.0,BEL
1354,2361.0,94.0,BEL
1355,2598.0,117.0,BEL
1356,2682.0,111.0,BEL
1357,3286.0,102.0,BEL
1358,556.0,119.0,BEL
1359,1001.0,119.0,BEL
1360,2724.0,126.0,BEL
1361,2412.0,118.0,BEL
1362,2669.0,139.0,BEL
1363,2865.0,123.0,BEL
1364,3944.0,142.0,BEL
1365,585.0,135.0,BEL
1366,1258.0,142.0,BEL
1367,3075.0,171.0,BEL
1368,3007.0,172.0,BEL
1369,3681.0,160.0,BEL
1370,4824.0,160.0,BEL
1371,5830.0,195.0,BEL
1372,1053.0,193.0,BEL
1373,2360.0,178.0,BEL
1374,5697.0,183.0,BEL
1375,6467.0,172.0,BEL
1376,2002.0,196.0,BEL
1377,7662.0,219.0,BEL
1378,8613.0,198.0,BEL
1379,1449.0,210.0,BEL
1380,3044.0,210.0,BEL
1381,6638.0,217.0,BEL
1382,7644.0,211.0,BEL
1383,9213.0,201.0,BEL
1384,12082.0,175.0,BEL
1385,13843.0,214.0,BEL
1386,2662.0,166.0,BEL
1387,6309.0,176.0,BEL
1388,15388.0,185.0,BEL
1389,15074.0,143.0,BEL
1390,17982.0,143.0,BEL
1391,22191.0,130.0,BEL
1392,19845.0,123.0,BEL
1393,4880.0,98.0,BEL
1394,11552.0,96.0,BEL
1395,18863.0,92.0,BEL
1396,17715.0,57.0,BEL
1397,17628.0,61.0,BEL
1398,19600.0,53.0,BEL
1399,15824.0,55.0,BEL
1400,4339.0,31.0,BEL
1401,8124.0,23.0,BEL
1402,13738.0,37.0,BEL
1403,12027.0,38.0,BEL
1404,12533.0,42.0,BEL
1405,12779.0,36.0,BEL
1406,9872.0,36.0,BEL
1407,2439.0,28.0,BEL
1408,4370.0,22.0,BEL
1409,7952.0,20.0,BEL
1410,6679.0,20.0,BEL
1411,6904.0,20.0,BEL
1412,5758.0,19.0,BEL
1413,5313.0,15.0,BEL
1414,1047.0,16.0,BEL
1415,1728.0,15.0,BEL
1416,3752.0,11.0,BEL
1417,3423.0,15.0,BEL
1418,3274.0,6.0,BEL
1419,3008.0,10.0,BEL
1420,2791.0,13.0,BEL
1421,559.0,13.0,BEL
1422,1078.0,7.0,BEL
1423,1623.0,5.0,BEL
1424,1795.0,5.0,BEL
1425,2096.0,8.0,BEL
1426,2074.0,1.0,BEL
1427,2202.0,3.0,BEL
1428,461.0,3.0,BEL
1429,894.0,8.0,BEL
1430,1709.0,6.0,BEL
1431,1750.0,1.0,BEL
1432,1943.0,4.0,BEL
1433,1628.0,3.0,BEL
1434,1724.0,4.0,BEL
1435,301.0,1.0,BEL
1436,617.0,1.0,BEL
1437,1284.0,5.0,BEL
1438,1143.0,3.0,BEL
1439,1024.0,2.0,BEL
1440,871.0,3.0,BEL
1441,918.0,4.0,BEL
1442,155.0,3.0,BEL
1443,322.0,1.0,BEL
1444,728.0,2.0,BEL
1445,677.0,4.0,BEL
1446,574.0,3.0,BEL
1447,565.0,3.0,BEL
1448,634.0,3.0,BEL
1449,117.0,1.0,BEL
1450,195.0,6.0,BEL
1451,614.0,4.0,BEL
1452,535.0,3.0,BEL
1453,526.0,4.0,BEL
1454,527.0,5.0,BEL
1455,607.0,5.0,BEL
1456,115.0,4.0,BEL
1457,203.0,6.0,BEL
1458,510.0,3.0,BEL
1459,581.0,5.0,BEL
1460,612.0,10.0,BEL
1461,725.0,11.0,BEL
1462,707.0,7.0,BEL
1463,132.0,8.0,BEL
1464,163.0,10.0,BEL
1465,587.0,12.0,BEL
1466,669.0,14.0,BEL
1467,609.0,11.0,BEL
1468,718.0,12.0,BEL
1469,873.0,11.0,BEL
1470,122.0,5.0,BEL
1471,304.0,2.0,BEL
1472,771.0,7.0,BEL
1473,769.0,4.0,BEL
1474,767.0,5.0,BEL
1475,813.0,7.0,BEL
1476,794.0,5.0,BEL
1477,148.0,5.0,BEL
1478,309.0,1.0,BEL
1479,684.0,5.0,BEL
1480,635.0,2.0,BEL
1481,703.0,3.0,BEL
1482,685.0,1.0,BEL
1483,595.0,6.0,BEL
1484,184.0,2.0,BEL
1485,229.0,1.0,BEL
1486,496.0,5.0,BEL
1487,439.0,2.0,BEL
1488,553.0,2.0,BEL
1489,145.0,1.0,BEL
1490,443.0,2.0,BEL
1491,64.0,2.0,BEL
1492,130.0,3.0,BEL
1493,274.0,2.0,BEL
1494,226.0,5.0,BEL
1495,260.0,5.0,BEL
1496,207.0,3.0,BEL
1497,224.0,1.0,BEL
1498,43.0,4.0,BEL
1499,62.0,2.0,BEL
1500,127.0,,BEL
1501,124.0,2.0,BEL
1502,137.0,1.0,BEL
1503,99.0,3.0,BEL
1504,112.0,1.0,BEL
1505,24.0,2.0,BEL
1506,64.0,4.0,BEL
1507,94.0,2.0,BEL
1508,93.0,4.0,BEL
1509,135.0,3.0,BEL
1510,100.0,8.0,BEL
1511,127.0,3.0,BEL
1512,24.0,5.0,BEL
1513,41.0,8.0,BEL
1514,113.0,2.0,BEL
1515,76.0,5.0,BEL
1516,100.0,5.0,BEL
1517,110.0,4.0,BEL
1518,143.0,12.0,BEL
1519,20.0,8.0,BEL
1520,50.0,4.0,BEL
1521,121.0,4.0,BEL
1522,108.0,5.0,BEL
1523,123.0,8.0,BEL
1524,99.0,9.0,BEL
1525,147.0,8.0,BEL
1526,22.0,5.0,BEL
1527,49.0,5.0,BEL
1528,89.0,10.0,BEL
1529,95.0,9.0,BEL
1530,119.0,15.0,BEL
1531,145.0,12.0,BEL
1532,152.0,10.0,BEL
1533,53.0,12.0,BEL
1534,69.0,11.0,BEL
1535,154.0,13.0,BEL
1536,172.0,17.0,BEL
1537,159.0,19.0,BEL
1538,181.0,24.0,BEL
1539,59.0,21.0,BEL
1540,49.0,22.0,BEL
1541,61.0,25.0,BEL
1542,165.0,16.0,BEL
1543,171.0,28.0,BEL
1544,182.0,25.0,BEL
1545,202.0,26.0,BEL
1546,314.0,26.0,BEL
1547,75.0,32.0,BEL
1548,123.0,28.0,BEL
1549,248.0,42.0,BEL
1550,70.0,38.0,BEL
1551,385.0,31.0,BEL
1552,292.0,36.0,BEL
1553,317.0,39.0,BEL
1554,81.0,32.0,BEL
1555,147.0,29.0,BEL
1556,346.0,47.0,BEL
1557,305.0,46.0,BEL
1558,321.0,60.0,BEL
1559,395.0,47.0,BEL
1560,476.0,66.0,BEL
1561,118.0,72.0,BEL
1562,240.0,77.0,BEL
1563,483.0,80.0,BEL
1564,442.0,68.0,BEL
1565,552.0,77.0,BEL
1566,546.0,84.0,BEL
1567,670.0,93.0,BEL
1568,140.0,91.0,BEL
1569,286.0,79.0,BEL
1570,237.0,94.0,BEL
1571,586.0,91.0,BEL
1572,522.0,107.0,BEL
1573,569.0,113.0,BEL
1574,755.0,132.0,BEL
1575,205.0,152.0,BEL
1576,388.0,142.0,BEL
1577,811.0,156.0,BEL
1578,976.0,156.0,BEL
1579,777.0,181.0,BEL
1580,1270.0,192.0,BEL
1581,1276.0,208.0,BEL
1582,443.0,186.0,BEL
1583,722.0,210.0,BEL
1584,1394.0,205.0,BEL
1585,1674.0,245.0,BEL
1586,1633.0,280.0,BEL
1587,1560.0,259.0,BEL
1588,537.0,276.0,BEL
1589,524.0,268.0,BEL
1590,1029.0,288.0,BEL
1591,2336.0,304.0,BEL
1592,2239.0,270.0,BEL
1593,1598.0,324.0,BEL
1594,1515.0,276.0,BEL
1595,1934.0,255.0,BEL
1596,665.0,246.0,BEL
1597,922.0,269.0,BEL
1598,1694.0,242.0,BEL
1599,1478.0,214.0,BEL
1600,1516.0,241.0,BEL
1601,1681.0,201.0,BEL
1602,1738.0,171.0,BEL
1603,683.0,145.0,BEL
1604,844.0,143.0,BEL
1605,1518.0,136.0,BEL
1606,1363.0,102.0,BEL
1607,1199.0,111.0,BEL
1608,1195.0,76.0,BEL
1609,1328.0,82.0,BEL
1610,486.0,55.0,BEL
1611,469.0,41.0,BEL
1612,662.0,40.0,BEL
1613,713.0,35.0,BEL
1614,534.0,25.0,BEL
1615,422.0,15.0,BEL
1616,387.0,11.0,BEL
1617,214.0,7.0,BEL
1618,179.0,7.0,BEL
1619,338.0,3.0,BEL
1620,250.0,,BEL
1621,174.0,3.0,BEL
1622,99.0,1.0,BEL
1623,94.0,,BEL
1624,64.0,,BEL
1625,27.0,1.0,BEL
1626,110.0,,BEL
1627,81.0,,BEL
1628,53.0,,BEL
1629,34.0,,BEL
1630,19.0,,BEL
1631,19.0,,BEL
2142,1046.0,110.0,BGR
2143,1729.0,154.0,BGR
2144,1438.0,87.0,BGR
2145,337.0,41.0,BGR
2146,332.0,50.0,BGR
2147,469.0,50.0,BGR
2148,257.0,45.0,BGR
2149,772.0,99.0,BGR
2150,1615.0,114.0,BGR
2151,1799.0,156.0,BGR
2152,1277.0,58.0,BGR
2153,166.0,55.0,BGR
2154,1002.0,157.0,BGR
