country_code,cases,deaths,IFR
ASM,6144.0,31.0,0.005045572916666667
AUS,6962561.0,7440.0,0.0010685723256140952
COK,5657.0,1.0,0.00017677214071062401
FJI,62600.0,857.0,0.013690095846645368
FSM,30.0,0.0,0.0
GUM,41342.0,238.0,0.005756857433118863
KIR,3098.0,13.0,0.004196255648805681
MHL,13.0,0.0,0.0
MNP,10336.0,23.0,0.002225232198142415
NCL,61641.0,312.0,0.00506156616537694
NRU,3.0,0.0,0.0
NZL,1151312.0,1085.0,0.0009424031018524953
PLW,5038.0,6.0,0.0011909487892020642
PNG,43447.0,641.0,0.014753607844039864
PYF,55956.0,535.0,0.009561083708628208
SLB,18153.0,146.0,0.00804274775519198
TON,11632.0,12.0,0.0010316368638239339
TUV,3.0,0.0,0.0
VUT,9222.0,14.0,0.0015181088700932553
WLF,450.0,7.0,0.015555555555555555
WSM,13379.0,25.0,0.001868600044846401
